Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB(Total),AST,TOV,STL,BLK,BLK(Against),PF,PF(Drawn),+/-,YR,CHAMP
Washington Wizards,82,15,67,0.18,48.1,113.7,43,91.4,47,12.4,35.5,34.8,15.4,20.2,76.4,9.2,31.9,41.1,27.9,14,7.6,5.1,6,20,18,-9.3,2024,0
Detroit Pistons,82,14,68,0.17,48.2,109.9,40.9,88.2,46.3,11,31.7,34.8,17,21.7,78.5,10.5,32.8,43.3,25.5,15.2,6.5,4.7,6,20.6,17.8,-9.1,2024,0
Philadelphia 76ers,82,10,72,0.12,48.3,97.4,36.2,84,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,16.4,8.3,6,5.7,21.7,19.2,-10.2,2016,0
Oklahoma City Thunder,21,20,1,0.95,49,122.2,43.6,89.5,48.7,13.6,37.5,36.2,21.5,25.5,84.1,9.3,35.6,45.0,26.2,12.7,10.4,5.5,3.9,21.5,22.6,15.5,2026,0
Detroit Pistons,20,16,4,0.80,48.3,119.8,43.7,89.6,48.8,11.3,31.4,35.9,21.1,28.3,74.6,13.4,33.0,46.4,26.5,15.9,9.8,6.0,4.9,23.4,23.5,5.8,2026,0
Los Angeles Lakers,19,15,4,0.79,48,119.6,42.4,82.6,51.3,11.6,33.1,35,23.3,29.2,79.8,9.5,31.6,41.1,26.1,15.9,8.8,3.8,3.5,19.8,23.5,4.3,2026,0
Houston Rockets,17,13,4,0.77,48.9,121.6,44.0,91.4,48.2,12.5,30.9,40.6,21.1,26.9,78.3,16.6,32.7,49.4,25.5,15.4,9.6,4.9,5.0,20.5,22.6,11.7,2026,0
Denver Nuggets,19,14,5,0.74,48.3,124.8,44.8,87.8,51.1,13.4,34.3,39.2,21.7,25.9,83.6,11.6,34.1,45.7,29.5,14.2,7.0,3.9,4.3,19.8,22.2,9.7,2026,0
New York Knicks,19,13,6,0.68,48,120.4,43.2,91.8,47,15.3,41.3,37.1,18.8,23.4,80.2,14.2,32.3,46.5,27.2,13.7,8.4,4.3,4.3,21.1,21,7.5,2026,0
San Antonio Spurs,19,13,6,0.68,48.3,118.8,42.6,86.9,49,12.9,36.3,35.7,20.7,25.7,80.7,11.4,33.5,44.8,25.9,15.0,8.9,4.9,3.9,20.7,21.8,5.3,2026,0
Toronto Raptors,21,14,7,0.67,48.2,117.6,43.3,88.5,49,11.7,32.1,36.4,19.2,25,77.1,10.4,32.3,42.7,29.7,14.3,8.9,4.2,5.6,21.8,19.9,4.7,2026,0
Miami Heat,20,13,7,0.65,48.3,123.6,44.7,93.0,48,13.2,35.3,37.3,21.1,26.6,79.3,10.6,35.5,46.0,30.1,14.6,9.2,4.3,5.4,20.3,21.6,5.4,2026,0
Atlanta Hawks,21,13,8,0.62,48.5,118.9,43.5,89.1,48.8,13.8,37.2,37,18.2,23.5,77.5,9.9,32.1,42.0,31.0,15.3,9.3,5.5,4.2,21.0,20.1,2.3,2026,0
Minnesota Timberwolves,20,12,8,0.60,48.3,119.2,42.5,87.3,48.7,14.4,37.2,38.6,19.9,26.2,76.1,11.0,32.5,43.5,26.4,15.3,8.6,5.0,4.2,22.4,22.1,5.1,2026,0
Orlando Magic,20,12,8,0.60,48.3,119.3,41.6,87.3,47.6,11.4,32.7,34.7,24.8,30.7,80.9,12.1,32.7,44.8,25.6,14.8,8.5,5.3,5.3,21.8,23.9,5.2,2026,0
Cleveland Cavaliers,21,12,9,0.57,48.2,118.8,42.1,91.4,46,15.8,44.7,35.4,18.8,24.8,75.8,12.1,31.6,43.7,27.2,14.6,9.0,5.4,4.0,21.4,21.9,3.2,2026,0
Phoenix Suns,21,12,9,0.57,48.2,116.7,41.9,89.7,46.7,15.0,40.2,37.4,17.8,22.3,79.9,13.1,30.3,43.4,25.5,16.3,10.6,4.4,4.5,23.0,20,2.7,2026,0
Boston Celtics,20,11,9,0.55,48,114.9,42.4,91.8,46.1,15.3,43.0,35.6,14.9,19.3,77.4,13.2,31.3,44.5,24.2,11.8,8.3,5.4,4.8,23.2,19.3,4,2026,0
Philadelphia 76ers,19,10,9,0.53,49.1,118.2,41.9,90.6,46.2,13.3,36.9,36.1,21.1,26,81,12.0,32.2,44.2,25.9,15.1,8.0,6.4,4.9,21.5,21.6,-0.7,2026,0
Golden State Warriors,21,11,10,0.52,48.2,114.5,39.4,87.3,45.1,15.9,44.2,35.9,19.9,24.1,82.4,11.2,31.8,43.0,27.4,16.2,9.9,4.4,3.8,21.0,19.5,1,2026,0
Chicago Bulls,19,9,10,0.47,48.5,119.9,43.2,91.3,47.3,14.4,38.7,37.3,19.1,24.2,78.9,10.3,35.9,46.2,29.4,15.1,7.5,5.2,6.1,21.1,20.5,-3.1,2026,0
Memphis Grizzlies,21,9,12,0.43,48.2,113.4,40.2,90.9,44.3,13.2,39.1,33.7,19.7,24.3,81,12.0,34.3,46.4,28.8,14.7,7.3,4.6,5.4,19.9,21,-3.1,2026,0
Milwaukee Bucks,21,9,12,0.43,48.5,115.5,42.9,87.1,49.2,15.5,37.9,41,14.2,20.1,70.7,8.3,31.6,39.9,27.0,14.5,8.3,4.3,4.3,22.1,18.9,-2.2,2026,0
Portland Trail Blazers,20,8,12,0.40,48.3,118.3,41.2,93.1,44.3,13.7,42.4,32.3,22.2,28,79.2,15.3,30.6,45.9,24.9,16.7,8.8,5.0,6.2,22.1,24,-2.9,2026,0
Utah Jazz,19,6,13,0.32,48.8,117.7,41.1,90.8,45.2,13.4,40.3,33.2,22.2,27.2,81.8,13.3,32.7,46.0,29.8,17.1,7.9,3.8,5.7,22.5,22.2,-7.7,2026,0
Charlotte Hornets,20,6,14,0.30,48.5,115.9,40.6,89.4,45.4,14.0,40.6,34.4,20.7,25,83,12.3,32.3,44.6,25.6,15.8,6.8,4.8,4.2,19.1,21.8,-4.3,2026,0
Dallas Mavericks,21,6,15,0.29,48.7,110.2,39.1,88.1,44.4,11.3,35.2,32.2,20.7,27.3,75.7,10.3,34.4,44.8,24.0,16.2,8.5,6.0,5.2,21.4,22.7,-5.7,2026,0
LA Clippers,20,5,15,0.25,48.5,111.8,39.4,83.9,47,12.9,36.0,35.9,20.1,23.8,84.6,9.6,31.3,40.9,23.8,16.0,8.4,4.9,4.1,20.6,20.1,-5.9,2026,0
Sacramento Kings,21,5,16,0.24,48.2,111.8,41.5,89.2,46.5,11.0,30.9,35.5,17.8,23.3,76.1,9.1,30.6,39.7,26.0,13.9,8.9,3.6,5.0,20.6,20,-11.1,2026,0
Indiana Pacers,20,4,16,0.20,48.5,109.8,38.7,91.4,42.4,11.8,37.1,31.7,20.6,26.8,77,12.4,32.9,45.3,23.6,14.6,7.0,5.4,4.6,23.4,22.7,-8.9,2026,0
Brooklyn Nets,19,3,16,0.16,48,108.4,37.2,84.7,43.9,13.8,41.1,33.6,20.2,25.9,77.8,11.1,27.9,39.0,24.3,15.4,6.7,3.7,4.4,20.7,22.3,-10.9,2026,0
New Orleans Pelicans,21,3,18,0.14,48.5,111.2,40.3,90.0,44.8,11.5,33.3,34.5,19,25,76.3,13.3,29.3,42.6,23.3,15.1,9.2,3.5,6.4,20.9,21.1,-10.9,2026,0
Washington Wizards,18,2,16,0.11,48.6,112.5,41.5,89.9,46.2,13.5,36.1,37.4,16,21.5,74.4,10.5,32.6,43.1,25.6,16.8,7.1,5.7,6.1,23.1,17.9,-15.2,2026,0
